Score: 15, Häufigkeit: 5
Score: 20, Häufigkeit: 5
Score: 10, Häufigkeit: 15
Score: 1, Häufigkeit: 34
Score: 9, Häufigkeit: 11
Score: 14, Häufigkeit: 9
Score: 23, Häufigkeit: 2
Score: 4, Häufigkeit: 19
Score: 6, Häufigkeit: 15
Score: 18, Häufigkeit: 1
Score: 22, Häufigkeit: 1
Score: 2, Häufigkeit: 30
Score: 16, Häufigkeit: 6
Score: 12, Häufigkeit: 5
Score: 8, Häufigkeit: 11
Score: 40, Häufigkeit: 1
Score: 33, Häufigkeit: 1
Score: 13, Häufigkeit: 2
Score: 7, Häufigkeit: 11
Score: 5, Häufigkeit: 9
Score: 3, Häufigkeit: 18
Score: 17, Häufigkeit: 2
Score: 11, Häufigkeit: 5
Score: 19, Häufigkeit: 2
